,Keyword,dhq_total_keyword_count,jca_total_keyword_count,jooch_total_keyword_count,total_keyword_count,Significance score,Year,# of articles keyword DHQ,# of articles keyword JCA,# of articles keyword JOCCH,DHQ_yearly_total,JCA_yearly_total,JOOCH_yearly_total,Rank,Size
72,graph,3,1,3,7,0.9,2023,0,1,1,41,19,86,7,43
73,representation,8,5,17,30,0.9,2019,0,0,1,39,28,32,5,45
74,representation,8,5,17,30,0.9,2017,1,0,0,54,7,32,5,45
75,graph,3,1,3,7,0.9,2017,1,0,0,54,7,32,7,43
76,representation,8,5,17,30,0.9,2020,0,1,0,68,26,44,5,45
77,graph,3,1,3,7,0.9,2022,0,0,1,79,16,74,7,43
78,text mining,4,1,1,6,0.85,2009,2,0,0,47,0,6,8,42
79,text mining,4,1,1,6,0.85,2016,1,0,0,53,11,17,8,42
80,text mining,4,1,1,6,0.85,2017,0,0,1,54,7,32,8,42
81,text mining,4,1,1,6,0.85,2023,1,0,0,41,19,86,8,42
82,text mining,4,1,1,6,0.85,2021,0,1,0,69,32,60,8,42
83,classification,4,1,5,10,0.8,2008,0,0,1,6,0,12,16,34
84,analysis/analyze,34,8,36,78,0.825,2017,7,0,3,54,7,32,9,41
85,analysis/analyze,34,8,36,78,0.825,2013,1,0,2,30,0,24,9,41
86,computational methods,22,15,5,42,0.8,2016,1,1,3,53,11,17,10,40
87,computational methods,22,15,5,42,0.8,2020,4,5,0,68,26,44,10,40
88,analysis/analyze,34,8,36,78,0.825,2012,1,0,0,28,0,12,9,41
89,computational methods,22,15,5,42,0.8,2012,0,0,1,28,0,12,10,40
90,interpretation,17,1,9,27,0.8,2009,2,0,0,47,0,6,12,38
91,interpretation,17,1,9,27,0.8,2012,1,0,0,28,0,12,12,38
92,analysis/analyze,34,8,36,78,0.825,2019,1,1,5,39,28,32,9,41
93,evaluation,3,1,24,28,0.8,2015,0,0,3,34,0,33,11,39
94,map,6,3,9,18,0.8,2015,1,0,2,34,0,33,13,37
95,classification,4,1,5,10,0.8,2010,0,0,1,22,0,10,16,34
96,analysis/analyze,34,8,36,78,0.825,2022,6,3,6,79,16,74,9,41
97,analysis/analyze,34,8,36,78,0.825,2020,7,0,2,68,26,44,9,41
98,analysis/analyze,34,8,36,78,0.825,2014,0,0,3,28,0,21,9,41
99,computational methods,22,15,5,42,0.8,2021,6,3,0,69,32,60,10,40
100,analysis/analyze,34,8,36,78,0.825,2011,0,0,3,20,0,20,9,41
101,interpretation,17,1,9,27,0.8,2011,1,0,1,20,0,20,12,38
102,map,6,3,9,18,0.8,2011,0,0,2,20,0,20,13,37
103,analysis/analyze,34,8,36,78,0.825,2016,1,1,2,53,11,17,9,41
104,analysis/analyze,34,8,36,78,0.825,2018,2,0,2,62,13,17,9,41
105,computational methods,22,15,5,42,0.8,2018,2,1,0,62,13,17,10,40
106,analysis/analyze,34,8,36,78,0.825,2021,4,1,2,69,32,60,9,41
107,evaluation,3,1,24,28,0.8,2021,2,0,5,69,32,60,11,39
108,analysis/analyze,34,8,36,78,0.825,2015,0,0,3,34,0,33,9,41
109,computational methods,22,15,5,42,0.8,2022,3,4,0,79,16,74,10,40
110,analysis/analyze,34,8,36,78,0.825,2009,1,0,0,47,0,6,9,41
111,evaluation,3,1,24,28,0.8,2014,0,0,2,28,0,21,11,39
112,map,6,3,9,18,0.8,2009,1,0,0,47,0,6,13,37
113,evaluation,3,1,24,28,0.8,2017,1,0,2,54,7,32,11,39
114,interpretation,17,1,9,27,0.8,2016,2,0,0,53,11,17,12,38
115,map,6,3,9,18,0.8,2016,0,0,2,53,11,17,13,37
116,interpretation,17,1,9,27,0.8,2021,2,0,3,69,32,60,12,38
117,network analysis,8,2,2,12,0.8,2022,4,0,1,79,16,74,14,36
118,evaluation,3,1,24,28,0.8,2018,0,0,2,62,13,17,11,39
119,computational methods,22,15,5,42,0.8,2013,1,0,0,30,0,24,10,40
120,evaluation,3,1,24,28,0.8,2013,0,0,1,30,0,24,11,39
121,interpretation,17,1,9,27,0.8,2013,0,0,1,30,0,24,12,38
122,network analysis,8,2,2,12,0.8,2013,1,0,0,30,0,24,14,36
123,quantitative analysis,2,4,4,10,0.8,2013,0,0,1,30,0,24,15,35
124,analysis/analyze,34,8,36,78,0.825,2023,2,1,2,41,19,86,9,41
125,evaluation,3,1,24,28,0.8,2023,0,0,4,41,19,86,11,39
126,map,6,3,9,18,0.8,2023,1,3,0,41,19,86,13,37
127,correlation,2,2,1,5,0.8,2011,0,0,1,20,0,20,18,32
128,interpretation,17,1,9,27,0.8,2020,2,0,1,68,26,44,12,38
129,quantitative analysis,2,4,4,10,0.8,2021,1,1,2,69,32,60,15,35
130,computational methods,22,15,5,42,0.8,2019,2,0,0,39,28,32,10,40
